CRN,Semester,Year,A_plus,A_stan,A_minus,B_plus,B_stan,B_minus,C_plus,C_stan,C_minus,D_plus,D_stan,D_minus,F_stan,CourseNum,DepartmentCode,CourseName,Instructor,Sched_Type,Avg_Grade
69781,Spring,2019,2,13,4,3,3,2,0,3,1,0,0,0,2,100,AAS,Intro Asian American Studies,"Espiritu, Augusto F",LCD,3.23
30107,Spring,2019,1,5,9,1,3,1,0,0,1,0,0,0,1,100,AAS,Intro Asian American Studies,"Thomas, Merin A",DIS,3.35
41729,Spring,2019,0,7,9,3,2,3,0,0,0,0,0,0,2,100,AAS,Intro Asian American Studies,"Thomas, Merin A",DIS,3.27
43832,Spring,2019,0,8,7,1,4,5,1,0,1,1,0,0,0,100,AAS,Intro Asian American Studies,"Lee, Sang S",DIS,3.28
48232,Spring,2019,0,7,4,2,5,5,0,2,0,1,0,0,2,100,AAS,Intro Asian American Studies,"Lee, Sang S",DIS,2.97
48234,Spring,2019,1,7,3,1,3,2,3,3,0,0,0,1,0,100,AAS,Intro Asian American Studies,"Kang, Yoonjung",DIS,3.1
50105,Spring,2019,1,5,4,0,3,6,1,2,1,0,1,0,0,100,AAS,Intro Asian American Studies,"Kang, Yoonjung",DIS,3.03
52317,Spring,2019,16,9,1,0,1,0,0,0,1,1,0,0,0,215,AAS,US Citizenship Comparatively,"Kwon, Soo Ah",LCD,3.78
57089,Spring,2019,0,7,4,4,10,9,3,1,3,1,2,0,0,225,ABE,ABE Principles: Bioenvironment,"Zhang, Yuanhui",LCD,2.89
57086,Spring,2019,11,10,10,2,4,4,1,1,1,1,0,0,2,226,ABE,ABE Principles: Bioprocessing,"Singh, Vijay",LCD,3.35
39997,Spring,2019,1,26,2,4,7,0,1,1,0,0,0,0,0,425,ABE,Engrg Measurement Systems,"Grift, Tony E",LCD,3.67
29872,Spring,2019,1,14,5,6,3,3,0,0,1,0,0,0,0,469,ABE,Industry-Linked Design Project,"Kalita, Prasanta K",LCD,3.55
