100,Intro Asian American Studies,3 hours.,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",AAS,Asian American Studies
220,Communicating Agriculture,3 hours.,"Skills necessary to communicate complex information about the broad agriculture domain to different audiences. Application of communication theories. Emphasis on essential communication skills, including writing, conducting interviews, planning, and critical evaluation of information sources. Same as ENVS 220 and NRES 220. Prerequisite: Completion of a Composition I course.",Advanced Composition course.,AGCM,Agricultural Communications
101,Introduction to Industrial Design,3 hours.,"Introduction to problem-finding and problem-solving processes in the design of products. This course teaches foundational industrial design skills, methods, philosophies, and design thinking. Creation of 3-dimensional products begins with a simplified design process, adding steps until a final project is completed that incorporates all components of the design process. This course satisfies the 3D requirement in the new Art + Design Foundations curriculum. Additional fees may apply. See Class Schedule. Prerequisite: For Art + Design majors only.",,ARTD,Art--Design
315,Social Media Management in Agricultural Communications,3 hours.,"Theories, principles and practices of applying emerging tools, technology, and norms to communicate agriculture to broad audiences. Focus on the strategies and tactics of using social media to communicate food, fuel, fiber, natural resources, health, human nutrition and related topics.",,AGCM,Agricultural Communications
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,BADM,Business Administration
330,Environmental Communications,3 hours.,"Basics of communicating about environmental issues to various audiences, emphasizing communication to lay publics. Gathering information about a current environmental issue, analyzing interests of groups involved, and examining strategies for communicating clearly to different groups. Same as ENVS 330 and NRES 330. Prerequisite: Sophomore standing.",,AGCM,Agricultural Communications
151,Introduction to Graphic Design,3 hours.,"An introductory course for students considering graphic design as their major. This course teaches design as a critical thinking and problem solving process that will be applied to class projects. Topics will include principles of visual perception, visual communication theory, precedents in design history, and technical skills common to the practice of graphic design and which relate to image making, surface design, typography, layout, design systems and their applications. This course satisfies the 2D requirement for the new Art + Design Foundation curriculum. Additional fees may apply. See Class Schedule. Prerequisite: For art and design majors only.",,ARTD,Art--Design
101,Professional Responsibility and Business,3 hours.,"Introduces business students to professional responsibility. Develops the concept of professional responsibility within a personal and interpersonal context. Continues by expanding the concept to encompass the firm and explore the global corporate context. Introduces business majors and career paths and provides an understanding of ethical decision-making. Encourages the development of a professional identity and skills, preparing students to represent the College and the University with integrity and confidence in their careers. Prerequisite: First Semester Freshman, Intercollegiate and Off-Campus Transfer Students.",,BUS,Business
375,International Agricultural Communications,3 hours.,"An examination of agricultural communications in international contexts. Students will learn about global communication networks, global media flow, cultural and intercultural communication in agriculture, and development communications in agricultural contexts. Approved for Letter and S/U grading. Prerequisite: Restricted to students with junior or senior standing.",,AGCM,Agricultural Communications
500,CIC Traveling Scholar,0 TO 20 hours.,For students participating in the Traveling Scholar Program. 0 to 20 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated.,,CIC,Committee on Inst Cooperation
210,Business Analytics I,3 hours.,"An introduction to basic knowledge of statistics, distributions, and linear regressions in a business setting Students will be able to perform and understand the use of basic statistical methods in generating inferences and modeling including hypothesis testing and multivariate regression. The course will introduce the concepts of a data life cycle, data visualization, and data summarization. Students will learn how to identify, describe and frame business opportunities through evidence-based storytelling and hands-on learning using spreadsheets and data visualization tools.",,BADM,Business Administration
100,Intro to Contemporary Dance,3 hours.,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",,DANC,Dance
