CourseNum,CourseName,CreditHours,Description,GenEdAttrib,DepartmentCode,Department
100,Intro Asian American Studies,3 hours.,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",AAS,Asian American Studies
199,Undergraduate Open Seminar,1 TO 5 hours.,"An experimental course on a special topic in agricultural leadership, education and communications. May be repeated in the same or separate terms as topics vary to a maximum of 12 hours. Prerequisite: ALEC Program approval required.",,AGCM,Agricultural Communications
101,Introduction to Industrial Design,3 hours.,"Introduction to problem-finding and problem-solving processes in the design of products. This course teaches foundational industrial design skills, methods, philosophies, and design thinking. Creation of 3-dimensional products begins with a simplified design process, adding steps until a final project is completed that incorporates all components of the design process. This course satisfies the 3D requirement in the new Art + Design Foundations curriculum. Additional fees may apply. See Class Schedule. Prerequisite: For Art + Design majors only.",,ARTD,Art--Design
220,Communicating Agriculture,3 hours.,"Skills necessary to communicate complex information about the broad agriculture domain to different audiences. Application of communication theories. Emphasis on essential communication skills, including writing, conducting interviews, planning, and critical evaluation of information sources. Same as ENVS 220 and NRES 220. Prerequisite: Completion of a Composition I course.",Advanced Composition course.,AGCM,Agricultural Communications
199,Undergraduate Open Seminar,1 TO 5 hours.,May be repeated.,,BADM,Business Administration
151,Introduction to Graphic Design,3 hours.,"An introductory course for students considering graphic design as their major. This course teaches design as a critical thinking and problem solving process that will be applied to class projects. Topics will include principles of visual perception, visual communication theory, precedents in design history, and technical skills common to the practice of graphic design and which relate to image making, surface design, typography, layout, design systems and their applications. This course satisfies the 2D requirement for the new Art + Design Foundation curriculum. Additional fees may apply. See Class Schedule. Prerequisite: For art and design majors only.",,ARTD,Art--Design
116,Intercultural Learning in Business,2 hours.,"Introduction to global learning in business to prepare undergraduate Gies Scholar students to become global business leaders. Restricted to first-year students in the Gies Scholars Program, a leadership program for selected students in the Gies College of Business. Students will work with teams from global universities to solve business problems and when possible, will participate in a short-term study abroad immersion trip. Prerequisite: Restricted to first-year students in the Gies Scholars Program.",,BUS,Business
310,Investigating Agricultural Communications,3 hours.,"An introduction to the most prominent types of research methods used in the discipline of Agricultural Communications as well as across social science disciplines in general. This course will also engage the strategies and tactics that practitioners use in order to produce various forms of agricultural communications. There are three overarching goals of this course. First, after completion of this course, the student should be able to competently understand and assess reports of research. Second, the student should be able to adequately conceptualize and begin the process of conducting original research around questions of agricultural communications. Finally, students should be able to competently use research skills in order to generate various agricultural communications. Approved for Letter and S/U grading. Prerequisite: Registration preference given to Junior or Senior status students.",,AGCM,Agricultural Communications
205,Business Location Decisions,3 hours.,Same as GGIS 205. See GGIS 205.,,BADM,Business Administration
205,Undergraduate Honors Research,1 hours.,"Course focuses on reading/understanding education research and working with a College of Education faculty mentor on a small research project. Student projects will be presented at the Spring Campus Undergraduate Research Symposium. Classes initially will be led by the instructor, but later will be conducted as a seminar with students leading discussions on the topic of their research. To the extent possible, students will select readings and research topics of personal interest. May be repeated in separate semesters if topics vary. Prerequisite: Restricted to College of Education James Scholar Program Students.",,CI,Curriculum and Instruction
