CourseNum,CRN,Section,SectionType,Professors,DepartmentCode,Department,Year,Semester
100,30107,AD1,Discussion/Recitation,"Guruparan, A;Zheng, R",AAS,Asian American Studies,2024,Spring 2024
100,41729,AD2,Discussion/Recitation,"Guruparan, A;Zheng, R",AAS,Asian American Studies,2024,Spring 2024
199,10206,A  ,Lecture-Discussion,"Axtman-Barker, P",AGCM,Agricultural Communications,2024,Spring 2024
100,43832,AD3,Discussion/Recitation,"Chapekar, P;Guruparan, A",AAS,Asian American Studies,2024,Spring 2024
100,48232,AD4,Discussion/Recitation,"Guruparan, A;Wang, Y",AAS,Asian American Studies,2024,Spring 2024
101,68888,1  ,Studio,"Kendall, J",ARTD,Art--Design,2024,Spring 2024
220,52697,A  ,Laboratory-Discussion,"Roberts, O",AGCM,Agricultural Communications,2024,Spring 2024
100,48234,AD5,Discussion/Recitation,"Guruparan, A;Roy, S",AAS,Asian American Studies,2024,Spring 2024
101,68889,2  ,Studio,"Kendall, J",ARTD,Art--Design,2024,Spring 2024
220,73165,B  ,Laboratory-Discussion,"Roberts, O",AGCM,Agricultural Communications,2024,Spring 2024
100,50105,AD6,Discussion/Recitation,"Guruparan, A;Roy, S",AAS,Asian American Studies,2024,Spring 2024
199,10398,,Independent Study,,BADM,Business Administration,2024,Spring 2024
100,54572,AD7,Discussion/Recitation,"Chapekar, P;Guruparan, A",AAS,Asian American Studies,2024,Spring 2024
199,54976,CHP,Lecture-Discussion,"Goncalo, J",BADM,Business Administration,2024,Spring 2024
151,68871,1  ,Studio,"Marble, J",ARTD,Art--Design,2024,Spring 2024
116,71794,HON,Lecture-Discussion,"Newell, R;Ohms, C",BUS,Business,2024,Spring 2024
310,74782,A  ,Lecture-Discussion,"Morgan, E",AGCM,Agricultural Communications,2024,Spring 2024
100,51886,AD8,Discussion/Recitation,"Guruparan, A;Wang, Y",AAS,Asian American Studies,2024,Spring 2024
205,74452,,Lecture-Discussion,,BADM,Business Administration,2024,Spring 2024
205,69379,A  ,Lecture-Discussion,"Hale, J",CI,Curriculum and Instruction,2024,Spring 2024
100,70761,AD9,Discussion/Recitation,"Guruparan, A;Mukhopadhyay, A",AAS,Asian American Studies,2024,Spring 2024
202,63647,M9B,Studio;Studio,"Attarian, R;Shao, F;Raheel, S",ARTD,Art--Design,2024,Spring 2024
199,41870,B  ,Online,"Lamers, N",BUS,Business,2024,Spring 2024
380,75823,A  ,Lecture-Discussion,"Roberts, O",AGCM,Agricultural Communications,2024,Spring 2024
100,70762,ADA,Discussion/Recitation,"Guruparan, A;Mukhopadhyay, A",AAS,Asian American Studies,2024,Spring 2024
102,57617,BTA,Online,"Butler, D",CZCH,Czech,2024,Spring 2024
202,50473,M9C,Studio;Studio,"Attarian, R;Shao, F;Raheel, S",ARTD,Art--Design,2024,Spring 2024
199,51518,BRZ,Travel,"Newell, R;Ohms, C",BUS,Business,2024,Spring 2024
210,71694,AD2,Discussion/Recitation,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
210,70204,AD ,Discussion/Recitation,"Kang, J",CI,Curriculum and Instruction,2024,Spring 2024
100,30106,AL1,Lecture,"Guruparan, A",AAS,Asian American Studies,2024,Spring 2024
398,55680,A  ,Lecture-Discussion,"Axtman-Barker, P",AGCM,Agricultural Communications,2024,Spring 2024
202,69165,M9D,Studio;Studio,"Shao, F;Sethi, S",ARTD,Art--Design,2024,Spring 2024
